,Cover_Type
508161,1
296324,5
206850,1
324046,1
261800,6
434261,1
353739,0
155935,1
103397,0
56955,1
544913,0
15290,0
252273,1
354982,0
253032,2
177805,0
15638,1
61094,0
241633,2
556503,0
490380,0
279222,0
174853,0
83090,1
235040,6
179924,0
344453,1
188584,0
400878,2
71709,1
128755,0
271501,4
370733,1
249278,1
202559,0
348631,1
302614,1
503858,0
214785,0
465336,0
279005,2
508029,0
432312,0
267469,1
11989,5
520122,0
213152,1
407632,6
352076,0
153206,1
404638,1
304265,2
113869,1
400219,2
290890,0
214094,1
231,0
159715,1
574439,2
12081,4
417540,0
480335,1
7256,2
235080,0
567049,1
270839,0
547092,1
349315,1
258727,1
476651,0
466897,0
286021,5
496639,0
347000,1
114619,1
104873,1
494632,0
329488,4
377970,1
537450,0
431316,0
292044,1
340741,1
113663,1
286931,2
75758,1
370937,1
22624,1
73666,1
366923,1
202220,0
131440,0
179385,1
269892,1
442054,0
473575,1
155862,1
125813,1
545477,0
509756,1
297296,5
508377,1
578824,2
341126,0
37890,1
260612,2
192562,0
56088,1
383233,0
481176,0
492308,0
296896,5
83269,1
343194,0
244141,0
47975,1
408743,1
22946,1
263165,2
550230,1
84911,1
482916,1
256679,2
76733,1
53457,0
60337,1
573140,2
16079,1
26425,1
115884,1
100038,0
431708,0
369490,0
426083,0
447835,1
98257,1
427249,1
16459,1
443546,0
5593,2
217111,1
305086,1
458180,0
22535,1
84308,1
328157,1
73932,0
350592,2
271243,2
423224,0
352188,0
495592,0
423258,0
87280,1
242098,2
438758,1
75251,1
502519,0
577251,2
356613,4
167670,0
139157,1
28183,1
183478,0
287566,2
576871,2
542917,6
56706,1
302477,1
216922,0
446568,1
287598,2
70816,1
200713,0
198797,1
574534,2
29165,1
331447,0
503541,6
12471,3
537020,1
74688,1
75006,1
435364,1
116667,1
158903,0
559337,1
255085,0
262980,1
506936,0
250234,1
561893,1
104493,1
193370,0
491260,1
49076,0
480894,1
553569,0
54169,1
353036,2
431365,0
62507,1
242405,1
98067,0
427907,1
467230,0
211457,0
554875,1
438525,1
205782,0
307302,0
377085,2
338240,6
246514,5
409674,1
60313,1
489713,0
314949,0
10717,1
165126,1
508802,0
576587,2
110755,1
110466,1
499469,1
555387,0
325526,2
55125,0
20034,1
166639,0
364974,1
316984,1
349099,0
99492,1
255365,1
18945,1
452891,0
14808,6
523063,0
202967,1
537400,1
315456,1
476452,6
290009,1
518188,0
486302,1
280677,2
216792,1
234242,1
253156,2
402067,0
242961,5
449722,0
128952,1
578732,2
350035,6
505249,0
360650,0
436989,0
105654,1
63683,1
343094,0
302577,1
214266,0
571554,1
244907,1
114361,1
103186,1
538129,6
442422,0
24672,1
243692,4
573535,1
87622,0
109778,1
558512,0
27017,1
129806,1
342478,0
533650,1
158609,1
85606,1
339909,0
146248,1
401037,1
53443,1
2433,4
479361,1
422981,1
